area,direction,district,house,price,traffic,type
21㎡,朝南,宝山,景瑞遇道 1室0厅 南,3000,607,1室0厅1卫
54㎡,朝南,徐汇,寿昌坊 2室1厅 南,5000,941,2室1厅1卫
58㎡,朝南,徐汇,梅陇四村 1室1厅 南,4000,0,1室1厅1卫
44㎡,朝南,静安,整租·南长苑 1室1厅 南,5300,599,1室1厅1卫
34㎡,朝南,徐汇,整租·乐山六七村 1室1厅 南,3800,733,1室1厅1卫
45㎡,朝南,徐汇,整租·龙山新村 1室1厅 南/北,6000,55,1室1厅1卫
55㎡,朝南,徐汇,康州小区 2室1厅 南,6500,462,2室1厅1卫
50㎡,朝南,徐汇,龙山新村 2室1厅 南,4000,55,2室1厅1卫
87㎡,朝南,宝山,昌鑫时代绿园 2室2厅 南,4800,0,2室2厅1卫
68㎡,朝南,宝山,上坤公园天地 3室1厅 南,4500,0,3室1厅1卫
115㎡,朝南,宝山,中环国际公寓(三期) 3室2厅 南,5300,0,3室2厅2卫
89㎡,朝南,浦东,汇智湖畔家园 2室2厅 南,9800,953,2室2厅1卫
99㎡,朝南,浦东,博文园 4室1厅 南,11000,198,4室1厅1卫
22㎡,朝南,宝山,景瑞遇道 1室0厅 南,2800,607,1室0厅1卫
21㎡,朝西,宝山,景瑞遇道 1室0厅 西,3000,607,1室0厅1卫
86㎡,朝南,宝山,丰翔新城 3室2厅 南,4500,0,3室2厅1卫
338㎡,朝南,青浦,海上湾华庭樱园 5室2厅 南/北,4800,0,5室2厅6卫
89㎡,朝南,青浦,阁游路777弄 2室2厅 南,2000,1038,2室2厅1卫
82㎡,朝南,青浦,巷佳华苑(二期) 3室1厅 南,4200,308,3室1厅1卫
87㎡,朝南,青浦,泰禾红桥 3室2厅 南,4200,0,3室2厅1卫
95㎡,朝南,青浦,整租·新城盛世 3室2厅 南,4000,0,3室2厅2卫
173㎡,朝南,青浦,合生御廷园(别墅) 3室3厅 南,11000,836,3室3厅2卫
128㎡,朝南,青浦,首创禧悦(一期) 1室1厅 南,1800,0,1室1厅1卫
68㎡,朝南,青浦,万寿新村(青浦) 3室1厅 南,2200,0,3室1厅1卫
56㎡,朝南,青浦,崧泽华城华中苑 1室1厅 南/北,2300,0,1室1厅1卫
89㎡,朝南,青浦,融信铂爵 3室2厅 南,3500,406,3室2厅1卫
170㎡,朝南,青浦,泰安公寓 3室2厅 南/北,1200,0,3室2厅2卫
133㎡,朝南,青浦,海天花园(公寓) 3室2厅 南/北,7500,0,3室2厅2卫
83㎡,朝南,青浦,龙湖滟澜山(公寓) 1室1厅 南,2500,0,1室1厅1卫
89㎡,朝南,青浦,华骥苑 2室2厅 南,2700,0,2室2厅1卫
98㎡,朝南,青浦,东渡悦来城 3室1厅 南,2500,54,3室1厅1卫
89㎡,朝南,青浦,淀湖山庄 2室1厅 南,1800,697,2室1厅1卫
66㎡,朝南,青浦,青浦万达茂 2室1厅 南,4600,13,2室1厅1卫
86㎡,朝南,青浦,新城盛景园 3室2厅 南,3000,142,3室2厅1卫
98㎡,朝南,青浦,泰安公寓 2室2厅 南,1400,0,2室2厅1卫
74㎡,朝南,青浦,佳乐苑 2室1厅 南,3000,920,2室1厅1卫
84㎡,朝南,青浦,绿地时代名邸 2室2厅 南,2800,943,2室2厅1卫
90㎡,朝南,青浦,上海捷克住宅小区(公寓) 2室1厅 南,3200,0,2室1厅1卫
89㎡,朝南,青浦,新城盛景园 3室2厅 南,3600,142,3室2厅1卫
78㎡,朝南,青浦,怡田小区 2室1厅 南,2800,435,2室1厅1卫
90㎡,朝南,青浦,仁恒运杰河滨花园 2室1厅 复式 南,3000,0,2室1厅2卫
93㎡,朝南,青浦,怡田小区 3室1厅 南,3200,435,3室1厅1卫
73㎡,朝南,青浦,邱家港路18弄 2室1厅 南,1000,306,2室1厅1卫
85㎡,朝南,青浦,新青浦花苑(公寓) 2室2厅 南,2600,152,2室2厅1卫
38㎡,朝南,青浦,城东新村 1室1厅 南,1800,1119,1室1厅1卫
77㎡,朝南,松江,高乐小区 2室1厅 南,3500,271,2室1厅1卫
114㎡,朝南,松江,贝尚湾(公寓) 3室2厅 南/北,7500,794,3室2厅2卫
339㎡,朝南,松江,整租·紫都上海晶园 4室2厅 南,35000,0,4室2厅4卫
42㎡,朝南,松江,万达广场(松江) 1室1厅 南,2500,0,1室1厅1卫
72㎡,朝南,松江,新凯城银杏苑 2室1厅 南,2600,0,2室1厅1卫
120㎡,朝南,松江,金地都会艺境(松江) 3室2厅 南,5200,151,3室2厅2卫
138㎡,朝南,松江,整租·绿洲长岛花园 3室2厅 南,5800,0,3室2厅2卫
110㎡,朝南,松江,新城上坤樾山四季 3室2厅 南,5000,0,3室2厅2卫
289㎡,朝南,松江,泗泾颐景园 5室3厅 南,9000,705,5室3厅4卫
58㎡,朝南,松江,英伦风尚(公寓) 2室1厅 南,4600,0,2室1厅1卫
91㎡,朝南,松江,整租·松江颐景园(公寓) 3室2厅 南,4000,0,3室2厅1卫
56㎡,朝南,松江,华亭新家百合苑 1室1厅 南/北,2800,0,1室1厅1卫
108㎡,朝南,松江,信达蓝爵 3室2厅 南,12000,0,3室2厅2卫
93㎡,朝南,松江,国贸天悦佘山 3室2厅 南,3690,304,3室2厅1卫
369㎡,朝南,松江,新上海花园洋房 5室3厅 南,20000,0,5室3厅4卫
96㎡,朝南,松江,枫桥丽舍 3室1厅 南,4900,0,3室1厅1卫
113㎡,朝南,松江,整租·莘松绿嘉园 2室2厅 南/北,4200,0,2室2厅1卫
157㎡,朝南,松江,中大九里德(公寓) 4室2厅 南/北,7500,0,4室2厅2卫
93㎡,朝南,松江,绿波景园 2室1厅 南,4200,0,2室1厅1卫
103㎡,朝南,松江,上海源花城 3室1厅 南,6200,0,3室1厅1卫
398㎡,朝东,松江,华润佘山九里 5室3厅 东/南/西/北,25000,623,5室3厅3卫
77㎡,朝南,松江,牡丹逸庭 2室1厅 南/北,3400,0,2室1厅1卫
101㎡,朝南,松江,三湘四季花城 2室2厅 南,5500,177,2室2厅1卫
123㎡,朝南,松江,祥和花苑(公寓) 3室2厅 南,4500,603,3室2厅1卫
97㎡,朝南,松江,绿地林肯公园 3室2厅 南,5500,0,3室2厅2卫
85㎡,朝南,松江,整租·紫东新苑 2室2厅 南/北,4500,0,2室2厅1卫
60㎡,朝西,松江,三湘四季财富广场 1室1厅 西,3600,204,1室1厅1卫
72㎡,朝南,松江,兰馨苑(泗泾) 2室1厅 南,3400,0,2室1厅1卫
134㎡,朝南,松江,中大九里德(公寓) 3室2厅 南,10000,0,3室2厅2卫
137㎡,朝南,松江,赛杰苑(公寓) 3室0厅 南,3500,0,3室0厅1卫
122㎡,朝南,松江,旭辉安贝尔花园 4室3厅 南,5000,22,4室3厅3卫
89㎡,朝南,松江,整租·象屿都城 3室2厅 南,5500,0,3室2厅1卫
97㎡,朝南,松江,整租·颐亭花园(公寓) 3室2厅 南/北,5800,0,3室2厅1卫
